id,proverb
1," Give me a push from my back"" does not mean give me a hunchback."
2,"A bag that says it will not take more, and a traditional doctor who says he would not leave anything behind are both sure to suffer."
3,A bird does not change its feathers because the weather is bad.
4,"A bird that flies from the ground onto an anthill, does not know that it is still on the ground"
5,A child is what you put into him
6,"A child who fears beating, would never admit that he played with a missing knife"
7,A crowd is like a smoldering log which can spark into a flame at any time.
8,A child who is carried on the back will not know how far the journey is
9,A farmer does not boast that he has had a good harvest until his stock of yams lasts till the following harvest season
10,A goat owned by two people sleeps outside
11,A hunter who has only one arrow does not shoot with careless aim.
12, A man can not sit down alone to plan for prosperity
13,"A man who lives alone is either always overworked, or always overfed"
14,A man who lives on the bank of a river does not use spittle to wash his hands.
15,A person always breaking off from work never finishes anything
16,A performing masquerade who tries too hard to outclass his colleagues may expose his anus.
17," A person who does not bathe, must know it of himself that he is dirty."
18,A traveler to distant places should make no enemies.
19,A tree is known by its fruit.
20,Accomplishment of purpose is better than making a profit.
